# N(mu)      mu
0.000000e+00 1.000000e-01
7.958405e+00 2.119192e+00
3.059479e+01 4.138384e+00
6.619710e+01 6.157576e+00
1.146730e+02 8.176768e+00
1.759933e+02 1.019596e+01
2.501450e+02 1.221515e+01
3.371210e+02 1.423434e+01
4.369173e+02 1.625354e+01
5.495311e+02 1.827273e+01
6.749606e+02 2.029192e+01
8.132044e+02 2.231111e+01
9.642615e+02 2.433030e+01
1.128131e+03 2.634949e+01
1.304813e+03 2.836869e+01
1.494306e+03 3.038788e+01
1.696611e+03 3.240707e+01
1.911726e+03 3.442626e+01
2.139653e+03 3.644545e+01
2.380389e+03 3.846465e+01
2.633936e+03 4.048384e+01
2.900293e+03 4.250303e+01
3.179460e+03 4.452222e+01
3.471437e+03 4.654141e+01
3.776223e+03 4.856061e+01
4.093819e+03 5.057980e+01
4.424225e+03 5.259899e+01
4.767440e+03 5.461818e+01
5.123465e+03 5.663737e+01
5.492299e+03 5.865657e+01
5.873943e+03 6.067576e+01
6.268396e+03 6.269495e+01
6.675658e+03 6.471414e+01
7.095730e+03 6.673333e+01
7.528610e+03 6.875253e+01
7.974300e+03 7.077172e+01
8.432799e+03 7.279091e+01
8.904108e+03 7.481010e+01
9.388225e+03 7.682929e+01
9.885151e+03 7.884848e+01
1.039489e+04 8.086768e+01
1.091743e+04 8.288687e+01
1.145278e+04 8.490606e+01
1.200095e+04 8.692525e+01
1.256192e+04 8.894444e+01
1.313570e+04 9.096364e+01
1.372229e+04 9.298283e+01
1.432169e+04 9.500202e+01
1.493390e+04 9.702121e+01
1.555891e+04 9.904040e+01
1.619674e+04 1.010596e+02
1.684737e+04 1.030788e+02
1.751081e+04 1.050980e+02
1.818707e+04 1.071172e+02
1.887613e+04 1.091364e+02
1.957800e+04 1.111556e+02
2.029268e+04 1.131747e+02
2.102016e+04 1.151939e+02
2.176046e+04 1.172131e+02
2.251357e+04 1.192323e+02
2.327948e+04 1.212515e+02
2.405820e+04 1.232707e+02
2.484974e+04 1.252899e+02
2.565408e+04 1.273091e+02
2.647123e+04 1.293283e+02
2.730118e+04 1.313475e+02
2.814395e+04 1.333667e+02
2.899953e+04 1.353859e+02
2.986791e+04 1.374051e+02
3.074911e+04 1.394242e+02
3.164311e+04 1.414434e+02
3.254992e+04 1.434626e+02
3.346954e+04 1.454818e+02
3.440197e+04 1.475010e+02
3.534721e+04 1.495202e+02
3.630525e+04 1.515394e+02
3.727611e+04 1.535586e+02
3.825977e+04 1.555778e+02
3.925625e+04 1.575970e+02
4.026553e+04 1.596162e+02
4.128762e+04 1.616354e+02
4.232252e+04 1.636545e+02
4.337023e+04 1.656737e+02
4.443074e+04 1.676929e+02
4.550407e+04 1.697121e+02
4.659020e+04 1.717313e+02
4.768915e+04 1.737505e+02
4.880090e+04 1.757697e+02
4.992546e+04 1.777889e+02
5.106283e+04 1.798081e+02
5.221301e+04 1.818273e+02
5.337600e+04 1.838465e+02
5.455179e+04 1.858657e+02
5.574040e+04 1.878848e+02
5.694181e+04 1.899040e+02
5.815603e+04 1.919232e+02
5.938306e+04 1.939424e+02
6.062290e+04 1.959616e+02
6.187555e+04 1.979808e+02
6.314101e+04 2.000000e+02
